reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-12-13,wk flu hosp rate change,0,2025-12-13,01,pmf,decrease,0.215
2025-12-13,wk flu hosp rate change,0,2025-12-13,01,pmf,increase,0.381
2025-12-13,wk flu hosp rate change,0,2025-12-13,01,pmf,large_decrease,0.001
2025-12-13,wk flu hosp rate change,0,2025-12-13,01,pmf,large_increase,0.116
2025-12-13,wk flu hosp rate change,0,2025-12-13,01,pmf,stable,0.287
2025-12-13,wk flu hosp rate change,0,2025-12-13,02,pmf,decrease,0.25674325674325676
2025-12-13,wk flu hosp rate change,0,2025-12-13,02,pmf,increase,0.33566433566433573
2025-12-13,wk flu hosp rate change,0,2025-12-13,02,pmf,large_decrease,0.01098901098901099
2025-12-13,wk flu hosp rate change,0,2025-12-13,02,pmf,large_increase,0.18081918081918083
2025-12-13,wk flu hosp rate change,0,2025-12-13,02,pmf,stable,0.2157842157842158
2025-12-13,wk flu hosp rate change,0,2025-12-13,04,pmf,decrease,0.057
2025-12-13,wk flu hosp rate change,0,2025-12-13,04,pmf,increase,0.416
2025-12-13,wk flu hosp rate change,0,2025-12-13,04,pmf,large_decrease,0.001
2025-12-13,wk flu hosp rate change,0,2025-12-13,04,pmf,large_increase,0.046
2025-12-13,wk flu hosp rate change,0,2025-12-13,04,pmf,stable,0.48
2025-12-13,wk flu hosp rate change,0,2025-12-13,05,pmf,decrease,0.042
2025-12-13,wk flu hosp rate change,0,2025-12-13,05,pmf,increase,0.439
2025-12-13,wk flu hosp rate change,0,2025-12-13,05,pmf,large_decrease,0.002
2025-12-13,wk flu hosp rate change,0,2025-12-13,05,pmf,large_increase,0.075
2025-12-13,wk flu hosp rate change,0,2025-12-13,05,pmf,stable,0.442
2025-12-13,wk flu hosp rate change,0,2025-12-13,06,pmf,decrease,0.015
2025-12-13,wk flu hosp rate change,0,2025-12-13,06,pmf,increase,0.373
2025-12-13,wk flu hosp rate change,0,2025-12-13,06,pmf,large_decrease,0.001
2025-12-13,wk flu hosp rate change,0,2025-12-13,06,pmf,large_increase,0.026
2025-12-13,wk flu hosp rate change,0,2025-12-13,06,pmf,stable,0.585
2025-12-13,wk flu hosp rate change,0,2025-12-13,08,pmf,decrease,0.16283716283716282
2025-12-13,wk flu hosp rate change,0,2025-12-13,08,pmf,increase,0.4515484515484515
2025-12-13,wk flu hosp rate change,0,2025-12-13,08,pmf,large_decrease,0.010989010989010986
2025-12-13,wk flu hosp rate change,0,2025-12-13,08,pmf,large_increase,0.15784215784215783
2025-12-13,wk flu hosp rate change,0,2025-12-13,08,pmf,stable,0.21678321678321677
2025-12-13,wk flu hosp rate change,0,2025-12-13,09,pmf,decrease,0.276
2025-12-13,wk flu hosp rate change,0,2025-12-13,09,pmf,increase,0.353
2025-12-13,wk flu hosp rate change,0,2025-12-13,09,pmf,large_decrease,0.019
2025-12-13,wk flu hosp rate change,0,2025-12-13,09,pmf,large_increase,0.114
2025-12-13,wk flu hosp rate change,0,2025-12-13,09,pmf,stable,0.238
2025-12-13,wk flu hosp rate change,0,2025-12-13,10,pmf,decrease,0.112
2025-12-13,wk flu hosp rate change,0,2025-12-13,10,pmf,increase,0.464
2025-12-13,wk flu hosp rate change,0,2025-12-13,10,pmf,large_decrease,0.001
2025-12-13,wk flu hosp rate change,0,2025-12-13,10,pmf,large_increase,0.083
2025-12-13,wk flu hosp rate change,0,2025-12-13,10,pmf,stable,0.34
2025-12-13,wk flu hosp rate change,0,2025-12-13,11,pmf,decrease,0.23
2025-12-13,wk flu hosp rate change,0,2025-12-13,11,pmf,increase,0.377
2025-12-13,wk flu hosp rate change,0,2025-12-13,11,pmf,large_decrease,0.002
2025-12-13,wk flu hosp rate change,0,2025-12-13,11,pmf,large_increase,0.154
2025-12-13,wk flu hosp rate change,0,2025-12-13,11,pmf,stable,0.237
2025-12-13,wk flu hosp rate change,0,2025-12-13,12,pmf,decrease,0.146
2025-12-13,wk flu hosp rate change,0,2025-12-13,12,pmf,increase,0.429
