reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-03-07,wk flu hosp rate change,0,2026-03-07,01,pmf,decrease,0.257
2026-03-07,wk flu hosp rate change,0,2026-03-07,01,pmf,increase,0.308
2026-03-07,wk flu hosp rate change,0,2026-03-07,01,pmf,large_decrease,0.215
2026-03-07,wk flu hosp rate change,0,2026-03-07,01,pmf,large_increase,0.021
2026-03-07,wk flu hosp rate change,0,2026-03-07,01,pmf,stable,0.19900000000000012
2026-03-07,wk flu hosp rate change,0,2026-03-07,02,pmf,decrease,0.286
2026-03-07,wk flu hosp rate change,0,2026-03-07,02,pmf,increase,0.088
2026-03-07,wk flu hosp rate change,0,2026-03-07,02,pmf,large_decrease,0.005
2026-03-07,wk flu hosp rate change,0,2026-03-07,02,pmf,large_increase,0.001
2026-03-07,wk flu hosp rate change,0,2026-03-07,02,pmf,stable,0.62
2026-03-07,wk flu hosp rate change,0,2026-03-07,04,pmf,decrease,0.457
2026-03-07,wk flu hosp rate change,0,2026-03-07,04,pmf,increase,0.273
2026-03-07,wk flu hosp rate change,0,2026-03-07,04,pmf,large_decrease,0.002
2026-03-07,wk flu hosp rate change,0,2026-03-07,04,pmf,large_increase,0.002
2026-03-07,wk flu hosp rate change,0,2026-03-07,04,pmf,stable,0.266
2026-03-07,wk flu hosp rate change,0,2026-03-07,05,pmf,decrease,0.651
2026-03-07,wk flu hosp rate change,0,2026-03-07,05,pmf,increase,0.049
2026-03-07,wk flu hosp rate change,0,2026-03-07,05,pmf,large_decrease,0.183
2026-03-07,wk flu hosp rate change,0,2026-03-07,05,pmf,large_increase,0.002
2026-03-07,wk flu hosp rate change,0,2026-03-07,05,pmf,stable,0.115
2026-03-07,wk flu hosp rate change,0,2026-03-07,06,pmf,decrease,0.5084915084915086
2026-03-07,wk flu hosp rate change,0,2026-03-07,06,pmf,increase,0.08991008991008992
2026-03-07,wk flu hosp rate change,0,2026-03-07,06,pmf,large_decrease,0.0009990009990009992
2026-03-07,wk flu hosp rate change,0,2026-03-07,06,pmf,large_increase,0.0009990009990009992
2026-03-07,wk flu hosp rate change,0,2026-03-07,06,pmf,stable,0.39960039960039967
2026-03-07,wk flu hosp rate change,0,2026-03-07,08,pmf,decrease,0.23
2026-03-07,wk flu hosp rate change,0,2026-03-07,08,pmf,increase,0.087
2026-03-07,wk flu hosp rate change,0,2026-03-07,08,pmf,large_decrease,0.001
2026-03-07,wk flu hosp rate change,0,2026-03-07,08,pmf,large_increase,0.001
2026-03-07,wk flu hosp rate change,0,2026-03-07,08,pmf,stable,0.6809999999999999
2026-03-07,wk flu hosp rate change,0,2026-03-07,09,pmf,decrease,0.6916167664670658
2026-03-07,wk flu hosp rate change,0,2026-03-07,09,pmf,increase,0.08782435129740518
2026-03-07,wk flu hosp rate change,0,2026-03-07,09,pmf,large_decrease,0.001996007984031936
2026-03-07,wk flu hosp rate change,0,2026-03-07,09,pmf,large_increase,0.001996007984031936
2026-03-07,wk flu hosp rate change,0,2026-03-07,09,pmf,stable,0.21656686626746507
2026-03-07,wk flu hosp rate change,0,2026-03-07,10,pmf,decrease,0.31468531468531463
2026-03-07,wk flu hosp rate change,0,2026-03-07,10,pmf,increase,0.11288711288711288
2026-03-07,wk flu hosp rate change,0,2026-03-07,10,pmf,large_decrease,0.011988011988011986
2026-03-07,wk flu hosp rate change,0,2026-03-07,10,pmf,large_increase,0.0029970029970029966
2026-03-07,wk flu hosp rate change,0,2026-03-07,10,pmf,stable,0.5574425574425574
2026-03-07,wk flu hosp rate change,0,2026-03-07,11,pmf,decrease,0.144
2026-03-07,wk flu hosp rate change,0,2026-03-07,11,pmf,increase,0.113
2026-03-07,wk flu hosp rate change,0,2026-03-07,11,pmf,large_decrease,0.001
2026-03-07,wk flu hosp rate change,0,2026-03-07,11,pmf,large_increase,0.001
2026-03-07,wk flu hosp rate change,0,2026-03-07,11,pmf,stable,0.741
2026-03-07,wk flu hosp rate change,0,2026-03-07,12,pmf,decrease,0.4505494505494505
2026-03-07,wk flu hosp rate change,0,2026-03-07,12,pmf,increase,0.20579420579420576
2026-03-07,wk flu hosp rate change,0,2026-03-07,12,pmf,large_decrease,0.001998001998001998
2026-03-07,wk flu hosp rate change,0,2026-03-07,12,pmf,large_increase,0.001998001998001998
2026-03-07,wk flu hosp rate change,0,2026-03-07,12,pmf,stable,0.33966033966033965
2026-03-07,wk flu hosp rate change,0,2026-03-07,13,pmf,decrease,0.264
2026-03-07,wk flu hosp rate change,0,2026-03-07,13,pmf,increase,0.249
2026-03-07,wk flu hosp rate change,0,2026-03-07,13,pmf,large_decrease,0.002
2026-03-07,wk flu hosp rate change,0,2026-03-07,13,pmf,large_increase,0.002
2026-03-07,wk flu hosp rate change,0,2026-03-07,13,pmf,stable,0.483
2026-03-07,wk flu hosp rate change,0,2026-03-07,15,pmf,decrease,0.256
2026-03-07,wk flu hosp rate change,0,2026-03-07,15,pmf,increase,0.164
2026-03-07,wk flu hosp rate change,0,2026-03-07,15,pmf,large_decrease,0.021
2026-03-07,wk flu hosp rate change,0,2026-03-07,15,pmf,large_increase,0.139
2026-03-07,wk flu hosp rate change,0,2026-03-07,15,pmf,stable,0.42
2026-03-07,wk flu hosp rate change,0,2026-03-07,16,pmf,decrease,0.323
2026-03-07,wk flu hosp rate change,0,2026-03-07,16,pmf,increase,0.094
2026-03-07,wk flu hosp rate change,0,2026-03-07,16,pmf,large_decrease,0.001
2026-03-07,wk flu hosp rate change,0,2026-03-07,16,pmf,large_increase,0.001
2026-03-07,wk flu hosp rate change,0,2026-03-07,16,pmf,stable,0.581
