"location","target","target_end_date","forecast_date","model","location_name","median","lower_50","upper_50","lower_95","upper_95","observed"
"US","0 wk inc flu hosp",2025-11-29,2025-11-29,"FluSight-ensemble","National","4143",3382,4806,2176,5896,5209
"US","1 wk inc flu hosp",2025-12-06,2025-11-29,"FluSight-ensemble","National","5103",3922,6303,2362,9856,7431
"US","2 wk inc flu hosp",2025-12-13,2025-11-29,"FluSight-ensemble","National","5727",4458,7451,2509,14312,11118
"US","3 wk inc flu hosp",2025-12-20,2025-11-29,"FluSight-ensemble","National","6936",5229,10045,2629,17153,21005
"US","0 wk inc flu hosp",2025-11-22,2025-11-22,"FluSight-ensemble","National","2603",2044,2963,1277,4119,3577
"US","1 wk inc flu hosp",2025-11-29,2025-11-22,"FluSight-ensemble","National","3183",2472,3893,1463,6180,5209
"US","2 wk inc flu hosp",2025-12-06,2025-11-22,"FluSight-ensemble","National","3791",2843,5193,1607,9097,7431
"US","3 wk inc flu hosp",2025-12-13,2025-11-22,"FluSight-ensemble","National","4727",3306,6683,1707,13273,11118
"US","0 wk inc flu hosp",2025-12-06,2025-12-06,"FluSight-ensemble","National","5777",4850,6783,3630,8351,7431
"US","1 wk inc flu hosp",2025-12-13,2025-12-06,"FluSight-ensemble","National","7681",6084,9347,3224,11824,11118
"US","2 wk inc flu hosp",2025-12-20,2025-12-06,"FluSight-ensemble","National","10135",6971,11599,3418,18147,21005
"US","3 wk inc flu hosp",2025-12-27,2025-12-06,"FluSight-ensemble","National","12256",7752,15089,3548,23922,37450
"US","0 wk inc flu hosp",2025-12-13,2025-12-13,"FluSight-ensemble","National","8784",7503,10282,5440,12561,11118
"US","1 wk inc flu hosp",2025-12-20,2025-12-13,"FluSight-ensemble","National","11663",9110,13808,5202,19524,21005
"US","2 wk inc flu hosp",2025-12-27,2025-12-13,"FluSight-ensemble","National","14313",10025,17480,5371,26821,37450
"US","3 wk inc flu hosp",2026-01-03,2025-12-13,"FluSight-ensemble","National","16030",11170,20763,5902,33744,42451
"US","0 wk inc flu hosp",2025-12-20,2025-12-20,"FluSight-ensemble","National","13773",11557,15468,8268,19683,21005
"US","1 wk inc flu hosp",2025-12-27,2025-12-20,"FluSight-ensemble","National","17960",13653,20753,8585,31461,37450
"US","2 wk inc flu hosp",2026-01-03,2025-12-20,"FluSight-ensemble","National","20611",14793,24999,8293,39992,42451
"US","3 wk inc flu hosp",2026-01-10,2025-12-20,"FluSight-ensemble","National","20869",15772,26174,7506,41432,29812
"US","0 wk inc flu hosp",2025-12-27,2025-12-27,"FluSight-ensemble","National","27549",23866,30262,17155,36145,37450
"US","1 wk inc flu hosp",2026-01-03,2025-12-27,"FluSight-ensemble","National","30267",24099,37200,15864,50995,42451
"US","2 wk inc flu hosp",2026-01-10,2025-12-27,"FluSight-ensemble","National","31389",24036,39287,15031,54621,29812
